cite_num,reference_filename,actual_file,match_type,similarity
1,INDOOR TESTBED FOR VECTOR FIELD MULTIROBOT ADAPTIVE NAVIGATION.pdf,./Papers/INDOOR TESTBED FOR VECTOR FIELD MULTIROBOT ADAPTIVE NAVIGATION.pdf,exact,1.0
2,Vector Field Based Collision Avoidance2207.01747.pdf,./Papers/Vector Field Based Collision Avoidance2207.01747.pdf,exact,1.0
3,[8] Motion planning_and collision_avoidance_using_navigation_vector_fields.pdf,./Papers/[8] Motion planning_and collision_avoidance_using_navigation_vector_fields.pdf,exact,1.0
4,Initial_Study_of_Multirobot_Adaptive_Navigation_for_Exploring_Environmental_Vector_Fields.pdf,./Papers/Initial_Study_of_Multirobot_Adaptive_Navigation_for_Exploring_Environmental_Vector_Fields.pdf,exact,1.0
5,"[108] Experimental Implementation and Verification of Scalar Field Ridge, Trench, and Saddle Point Maneuvers Using Multirobot Adaptive Navigation.pdf","./Papers/[108] Experimental Implementation and Verification of Scalar Field Ridge, Trench, and Saddle Point Maneuvers Using Multirobot Adaptive Navigation.pdf",exact,1.0
6,[14] Gradient-based_Adaptive_Navigation_of_Multiple_Diving_Autonomous_Surface_Vehicles.pdf,./Papers/[14] Gradient-based_Adaptive_Navigation_of_Multiple_Diving_Autonomous_Surface_Vehicles.pdf,exact,1.0
7,[9] Navigation_of_Scalar_Fronts_With_Multirobot_Clusters_in_Simulation_and_Experiment.pdf,./Papers/[9] Navigation_of_Scalar_Fronts_With_Multirobot_Clusters_in_Simulation_and_Experiment.pdf,exact,1.0
8,"Adaptive Navigation Control Primitives for Multirobot Clusters- Extrema Finding, Contour Following, Ridge:Trench Following, and Saddle Point Station Keeping.pdf","./Papers/ Adaptive Navigation Control Primitives for Multirobot Clusters- Extrema Finding, Contour Following, Ridge:Trench Following, and Saddle Point Station Keeping.pdf",fuzzy,0.9968847352024922
9,[101] obstacle avoidance using complex vector fields.pdf,./Papers/[101] obstacle avoidance using complex vector fields.pdf,exact,1.0
10,[102] Structured Isosurface Mapping of 3D Scalar Fields with Mobile Sensor Networks.pdf,./Papers/[102] Structured Isosurface Mapping of 3D Scalar Fields with Mobile Sensor Networks.pdf,exact,1.0
11,Distributed_Multi-Robot_Active-Sensing_of_a_Diffusive_Source.pdf,./Papers/Distributed_Multi-Robot_Active-Sensing_of_a_Diffusive_Source.pdf,exact,1.0
12,Unifying_Control_Architecture_for_Reactive_Particle_Swarms.pdf,./Papers/Unifying_Control_Architecture_for_Reactive_Particle_Swarms.pdf,exact,1.0
13,[20] garg-panagou-2019-finite-time-estimation-and-control-for-multi-aircraft-systems-under-wind-and-dynamic-obstacles.pdf,./Papers/[20] garg-panagou-2019-finite-time-estimation-and-control-for-multi-aircraft-systems-under-wind-and-dynamic-obstacles.pdf,exact,1.0
14,[106] Obstacle Avoidance Policies for Cluster Space Control of Nonholonomic Multirobot Systems.pdf,./Papers/[106] Obstacle Avoidance Policies for Cluster Space Control of Nonholonomic Multirobot Systems.pdf,exact,1.0
15,Multirobot_Symmetric_Formations_for_Gradient_and_Hessian_Estimation_With_Application_to_Source_Seeking (1).pdf,./Papers/Multirobot_Symmetric_Formations_for_Gradient_and_Hessian_Estimation_With_Application_to_Source_Seeking (1).pdf,exact,1.0
16,Fully_Distributed_Algorithms_for_Constrained_Nonsmooth_Optimization_Problems_of_General_Linear_Multiagent_Systems_and_Their_Application.pdf,./Papers/Fully_Distributed_Algorithms_for_Constrained_Nonsmooth_Optimization_Problems_of_General_Linear_Multiagent_Systems_and_Their_Application.pdf,exact,1.0
17,[20] From_Small-Scale_to_Full-Scale_Assessing_the_Potential_for_Transferability_of_Experimental_Results_in_Small-Scale_CAV_Testbeds.pdf,./Papers/[20] From_Small-Scale_to_Full-Scale_Assessing_the_Potential_for_Transferability_of_Experimental_Results_in_Small-Scale_CAV_Testbeds.pdf,exact,1.0
18,TMECH-04-2013-2945_tadamek_final.pdf,./Papers/TMECH-04-2013-2945_tadamek_final.pdf,exact,1.0
19,Gradient-Free_Cooperative_Source-Seeking_of_Quadrotor_Under_Disturbances_and_Communication_Constraints.pdf,./Papers/Gradient-Free_Cooperative_Source-Seeking_of_Quadrotor_Under_Disturbances_and_Communication_Constraints.pdf,exact,1.0
20,[28] Cooperative_Distributed_Source_Seeking_by_Multiple_Robots_Algorithms_and_Experiments.pdf,./Papers/[28] Cooperative_Distributed_Source_Seeking_by_Multiple_Robots_Algorithms_and_Experiments.pdf,exact,1.0
21,[103] Gradient-Free Tracking of Unsteady Environmental Level Sets in Dynamic Environments by a Nonholonomic Robot.pdf,./Papers/[103] Gradient-Free Tracking of Unsteady Environmental Level Sets in Dynamic Environments by a Nonholonomic Robot.pdf,exact,1.0
22,Sparsity_Structure_and_Optimality_of_Multi-Robot_Coverage_Control.pdf,./Papers/Sparsity_Structure_and_Optimality_of_Multi-Robot_Coverage_Control.pdf,exact,1.0
23,applsci-14-00213.pdf,./Papers/applsci-14-00213.pdf,exact,1.0
24,2311.00976arxiv.pdf,./Papers/2311.00976arxiv.pdf,exact,1.0
25,1-s2.0-S0016003219300031-main.pdf,./Papers/1-s2.0-S0016003219300031-main.pdf,exact,1.0
26,Mas-Kitts2017_Article_QuaternionsAndDualQuaternionsS.pdf,./Papers/Mas-Kitts2017_Article_QuaternionsAndDualQuaternionsS.pdf,exact,1.0
27,[27] Bychkov_2021_J._Phys.%3A_Conf._Ser._2099_012027.pdf,./Papers/[27] Bychkov_2021_J._Phys.%3A_Conf._Ser._2099_012027.pdf,exact,1.0
28,[107] Singularity-Free_Guiding_Vector_Field_for_Robot_Navigation.pdf,./Papers/[107] Singularity-Free_Guiding_Vector_Field_for_Robot_Navigation.pdf,exact,1.0
29,Gradient-Based Cluster Space Navigation for Autonomous Surface Vessels.pdf,./Papers/Gradient-Based Cluster Space Navigation for Autonomous Surface Vessels.pdf,exact,1.0
30,A_Survey_on_Small-Scale_Testbeds_for_Connected_and_Automated_Vehicles_and_Robot_Swarms_A_Guide_for_Creating_a_New_Testbed_Survey.pdf,./Papers/A_Survey_on_Small-Scale_Testbeds_for_Connected_and_Automated_Vehicles_and_Robot_Swarms_A_Guide_for_Creating_a_New_Testbed_Survey.pdf,exact,1.0
31,[18] Robotic_Park_Multi-Agent_Platform_for_Teaching_Control_and_Robotics (2).pdf,./Papers/[18] Robotic_Park_Multi-Agent_Platform_for_Teaching_Control_and_Robotics (2).pdf,exact,1.0
32,Dynamic_Elliptical_Shaping_Control_for_Swarm_Robots.pdf,./Papers/Dynamic_Elliptical_Shaping_Control_for_Swarm_Robots.pdf,exact,1.0
33,[13] Entrapment escorting_and_patrolling_missions_in_multi-robot_cluster_space_control.pdf,./Papers/[13] Entrapment escorting_and_patrolling_missions_in_multi-robot_cluster_space_control.pdf,exact,1.0
34,2009.09149.pdf,./Papers/2009.09149.pdf,exact,1.0
35,algorithms-for-collision-free-navigation-of-mobile-robots-in-complex-cluttered-environments-a-survey.pdf,./Papers/algorithms-for-collision-free-navigation-of-mobile-robots-in-complex-cluttered-environments-a-survey.pdf,exact,1.0
36,[17] Cluster_Space_Specification_and_Control_of_Mobile_Multirobot_Systems.pdf,./Papers/[17] Cluster_Space_Specification_and_Control_of_Mobile_Multirobot_Systems.pdf,exact,1.0
37,Cluster_Space_Specification_and_Control_of_Mobile_Multirobot_Systems.pdf,./Papers/Cluster_Space_Specification_and_Control_of_Mobile_Multirobot_Systems.pdf,exact,1.0
38,Spiral_Search_Pattern_for_Scalable_Assemblages_of_Uncrewed_Surface_Vehicles.pdf,./Papers/Spiral_Search_Pattern_for_Scalable_Assemblages_of_Uncrewed_Surface_Vehicles.pdf,exact,1.0
39,Multiple_UAV_Adaptive_Navigation_for_Three-Dimensi.pdf,./Papers/Multiple_UAV_Adaptive_Navigation_for_Three-Dimensi.pdf,exact,1.0
40,Design_Control_and_Applications_of_Real-World_Multirobot_Systems_From_the_Guest_Editors.pdf,./Papers/Design_Control_and_Applications_of_Real-World_Multirobot_Systems_From_the_Guest_Editors.pdf,exact,1.0
41,[19] Coordinated Control of Multi-Robot Systems  A Survey.pdf,./Papers/[19] Coordinated Control of Multi-Robot Systems  A Survey.pdf,exact,1.0
42,[12] A_low-cost_indoor_testbed_for_multirobot_adaptive_navigation_research (1) (1).pdf,./Papers/[12] A_low-cost_indoor_testbed_for_multirobot_adaptive_navigation_research (1) (1).pdf,exact,1.0
43,Multi-Robot_Object_SLAM_Using_Distributed_Variational_Inference.pdf,./Papers/Multi-Robot_Object_SLAM_Using_Distributed_Variational_Inference.pdf,exact,1.0
44,Non-Gradient_Based_Tracking_of_Environmental_Field_Isolines_in_a_Changing_Medium_by_Dubins-Vehicle_Type_Robots.pdf,./Papers/Non-Gradient_Based_Tracking_of_Environmental_Field_Isolines_in_a_Changing_Medium_by_Dubins-Vehicle_Type_Robots.pdf,exact,1.0
45,[111] Precise_Landing_of_Autonomous_Aerial_Vehicles_Using_Vector_Fields.pdf,./Papers/[111] Precise_Landing_of_Autonomous_Aerial_Vehicles_Using_Vector_Fields.pdf,exact,1.0
46,[110] electronics-10-02250-v2.pdf,./Papers/[110] electronics-10-02250-v2.pdf,exact,1.0
47,Optimal_Output_Synchronization_of_EulerLagrange_Systems_With_Uncertain_Time-Varying_Quadratic_Cost_Functions.pdf,./Papers/Optimal_Output_Synchronization_of_EulerLagrange_Systems_With_Uncertain_Time-Varying_Quadratic_Cost_Functions.pdf,exact,1.0
48,Distributed_Optimal_Formation_for_Uncertain_Euler-Lagrange_Systems_With_Collision_Avoidance.pdf,./Papers/Distributed_Optimal_Formation_for_Uncertain_Euler-Lagrange_Systems_With_Collision_Avoidance.pdf,exact,1.0
